age,gender,city,occupation,monthlyIncome,coffeeFrequency,preferredCoffeeType,preferredBrand,monthlyCoffeeSpend,purchaseLocation,purchaseMode,priceSensitivity,tastePreference,brandLoyalty,willingnessToTry,preferredPriceRange,purchaseIntention
36.0,Male,Delhi,Freelancer,41600.0,3-4 times/week,Instant Coffee,Sleepy Owl,480.0,Brand Website,Online,Medium,Mild,High,Neutral,130.0,Medium
46.0,Male,Jaipur,Student,13200.0,Multiple times/day,Instant Coffee,Nescafé,480.0,Café,Offline,Medium,Sweet,Medium,Unlikely,300.0,High
39.0,Male,Lucknow,Business Owner,114100.0,3-4 times/week,Filter Coffee,Other,630.0,Local Kirana Store,Both,Medium,Mild,Medium,Very Likely,90.0,High
43.0,Male,Bengaluru,Private Sector Employee,44300.0,1-2 times/week,Filter Coffee,Bru,290.0,Other,Offline,High,Sweet,Medium,Very Likely,130.0,High
24.0,Female,Bhopal,Freelancer,31200.0,Daily,Cappuccino,Other,570.0,Local Kirana Store,Offline,High,Balanced,Low,Neutral,130.0,Medium
27.0,Male,Kolkata,Freelancer,32200.0,Rarely,Instant Coffee,Nescafé,160.0,Local Kirana Store,Offline,Medium,Mild,High,Likely,130.0,High
33.0,Male,Chennai,Private Sector Employee,52000.0,Daily,Cappuccino,Sleepy Owl,970.0,Supermarket/Grocery Store,Offline,High,Bitter,High,Neutral,300.0,High
37.0,Male,Delhi,Freelancer,36400.0,3-4 times/week,Filter Coffee,Café Coffee Day,320.0,Supermarket/Grocery Store,Offline,Low,Mild,Low,Likely,700.0,High
23.0,Female,Indore,Government Employee,33000.0,1-2 times/week,Filter Coffee,Third Wave Coffee,250.0,Café,Offline,High,Balanced,High,Very Unlikely,90.0,Low
44.0,Male,Pune,Private Sector Employee,33900.0,Daily,Filter Coffee,Nescafé,400.0,Online Marketplace,Online,Medium,Balanced,High,Likely,450.0,High
32.0,Male,Chandigarh,Business Owner,65100.0,3-4 times/week,Instant Coffee,Nescafé,410.0,Brand Website,Online,Medium,Strong,High,Unlikely,450.0,Medium
26.0,Male,Visakhapatnam,Government Employee,53400.0,3-4 times/week,Espresso,Nescafé,490.0,Local Kirana Store,Both,Medium,Sweet,Medium,Neutral,130.0,High
35.0,Female,Bengaluru,Freelancer,47600.0,1-2 times/week,Espresso,Nescafé,340.0,Local Kirana Store,Both,High,Balanced,High,Unlikely,90.0,Medium
21.0,Male,Lucknow,Private Sector Employee,27500.0,3-4 times/week,Instant Coffee,Blue Tokai,290.0,Local Kirana Store,Offline,Medium,Strong,High,Likely,300.0,High
24.0,Male,Chennai,Private Sector Employee,46900.0,3-4 times/week,Cold Coffee,Bru,590.0,Supermarket/Grocery Store,Offline,Medium,Strong,High,Very Likely,300.0,High
27.0,Male,Kolkata,Homemaker,30700.0,Daily,Cold Coffee,Blue Tokai,650.0,Local Kirana Store,Offline,Medium,Balanced,Medium,Very Likely,450.0,High
30.0,Female,Delhi,IT Professional,79600.0,3-4 times/week,Cold Coffee,Nescafé,810.0,Café,Offline,Medium,Strong,High,Likely,90.0,High
45.0,Female,Ahmedabad,Private Sector Employee,53500.0,Daily,Instant Coffee,Bru,620.0,Supermarket/Grocery Store,Offline,High,Bitter,High,Very Unlikely,300.0,High
22.0,Male,Delhi,Government Employee,47200.0,1-2 times/week,Filter Coffee,Nescafé,350.0,Office/Canteen,Offline,Medium,Strong,Medium,Neutral,450.0,Medium
18.0,Female,Chennai,IT Professional,46800.0,Daily,Instant Coffee,Café Coffee Day,500.0,Local Kirana Store,Offline,Medium,Strong,Medium,Very Unlikely,90.0,Medium
38.0,Male,Delhi,IT Professional,85000.0,1-2 times/week,Filter Coffee,Bru,370.0,Supermarket/Grocery Store,Offline,High,Strong,Low,Neutral,700.0,Medium
24.0,Male,Lucknow,Teacher/Professor,37100.0,Rarely,Instant Coffee,Nescafé,170.0,Supermarket/Grocery Store,Offline,Low,Bitter,High,Neutral,130.0,Medium
24.0,Female,Jaipur,Government Employee,60800.0,Daily,Latte,Bru,1130.0,Office/Canteen,Offline,High,Balanced,Medium,Likely,450.0,High
29.0,Male,Ahmedabad,Business Owner,86500.0,Daily,Mocha,Café Coffee Day,1400.0,Café,Offline,Medium,Sweet,Medium,Likely,90.0,High
28.0,Female,Delhi,Healthcare Professional,38500.0,1-2 times/week,Espresso,Nescafé,380.0,Supermarket/Grocery Store,Both,Low,Mild,Medium,Very Unlikely,130.0,Low
30.0,Male,Bhopal,Healthcare Professional,84300.0,Multiple times/day,Cold Coffee,Tata Coffee,1500.0,Supermarket/Grocery Store,Offline,Low,Bitter,Medium,Neutral,300.0,High
18.0,Male,Delhi,Freelancer,27500.0,3-4 times/week,Mocha,Nescafé,590.0,Café,Offline,Medium,Bitter,Medium,Likely,300.0,Medium
33.0,Male,Pune,Private Sector Employee,45500.0,1-2 times/week,Americano,Other,380.0,Online Marketplace,Online,Medium,Balanced,Medium,Very Likely,300.0,Medium
27.0,Female,Nagpur,Healthcare Professional,57100.0,Daily,Instant Coffee,Starbucks,470.0,Café,Offline,High,Balanced,Medium,Likely,130.0,Medium
41.0,Male,Bengaluru,Government Employee,64300.0,Daily,Americano,Third Wave Coffee,920.0,Online Marketplace,Online,Medium,Balanced,Low,Likely,300.0,High
19.0,Female,Pune,Student,11400.0,Daily,Filter Coffee,Bru,400.0,Online Marketplace,Online,Medium,Mild,Medium,Likely,300.0,High
20.0,Male,Lucknow,Teacher/Professor,47100.0,3-4 times/week,Instant Coffee,Blue Tokai,360.0,Local Kirana Store,Both,Medium,Mild,High,Likely,450.0,High
24.0,Female,Pune,IT Professional,76600.0,Multiple times/day,Espresso,Tata Coffee,1230.0,Local Kirana Store,Offline,Low,Balanced,Medium,Neutral,130.0,High
29.0,Male,Bhubaneswar,Student,13700.0,Daily,Latte,Tata Coffee,920.0,Office/Canteen,Offline,Low,Balanced,Low,Likely,130.0,Medium
29.0,Male,Indore,Student,9200.0,1-2 times/week,Espresso,Blue Tokai,270.0,Other,Offline,Medium,Balanced,Medium,Very Likely,90.0,Medium
38.0,Male,Bhubaneswar,Business Owner,139900.0,Daily,Espresso,Bru,1250.0,Local Kirana Store,Offline,Medium,Balanced,Medium,Very Likely,450.0,High
39.0,Male,Mumbai,Healthcare Professional,67600.0,Daily,Cappuccino,Blue Tokai,1130.0,Supermarket/Grocery Store,Offline,Medium,Strong,High,Neutral,450.0,High
32.0,Male,Lucknow,Government Employee,39400.0,Multiple times/day,Cappuccino,Blue Tokai,980.0,Online Marketplace,Online,High,Balanced,Medium,Unlikely,130.0,High
52.0,Female,Chennai,Business Owner,105900.0,Daily,Espresso,Nescafé,1290.0,Local Kirana Store,Offline,Medium,Strong,Medium,Very Unlikely,300.0,Medium
25.0,Male,Visakhapatnam,IT Professional,52300.0,1-2 times/week,Latte,Third Wave Coffee,600.0,Brand Website,Online,Medium,Mild,Low,Very Likely,450.0,High
39.0,Female,Bhopal,Student,11200.0,1-2 times/week,Espresso,Nescafé,290.0,Online Marketplace,Online,Medium,Mild,Medium,Likely,90.0,Medium
36.0,Female,Bengaluru,Healthcare Professional,39500.0,Rarely,Americano,Blue Tokai,170.0,Online Marketplace,Online,Medium,Strong,Medium,Very Likely,130.0,Medium
37.0,Male,Hyderabad,Student,16000.0,Multiple times/day,Filter Coffee,Bru,420.0,Supermarket/Grocery Store,Both,High,Balanced,Medium,Very Unlikely,450.0,Low
23.0,Male,Mumbai,Business Owner,86100.0,3-4 times/week,Cappuccino,Starbucks,910.0,Online Marketplace,Online,Medium,Sweet,Medium,Very Unlikely,90.0,Medium
24.0,Female,Coimbatore,IT Professional,72700.0,Daily,Americano,Country Bean,730.0,Supermarket/Grocery Store,Offline,High,Balanced,High,Very Likely,450.0,High
35.0,Male,Jaipur,Private Sector Employee,46300.0,Daily,Instant Coffee,Third Wave Coffee,630.0,Local Kirana Store,Both,Medium,Sweet,Medium,Very Likely,90.0,High
35.0,Male,Chandigarh,Government Employee,65900.0,Daily,Cappuccino,Bru,910.0,Local Kirana Store,Offline,High,Strong,Low,Very Likely,300.0,High
50.0,Male,Nagpur,IT Professional,114400.0,Daily,Filter Coffee,Nescafé,870.0,Office/Canteen,Offline,Medium,Mild,Medium,Neutral,130.0,High
19.0,Male,Ahmedabad,IT Professional,97900.0,1-2 times/week,Espresso,Bru,610.0,Local Kirana Store,Offline,High,Bitter,Low,Likely,300.0,Medium
18.0,Male,Delhi,Student,10500.0,1-2 times/week,Americano,Nescafé,380.0,Supermarket/Grocery Store,Both,Medium,Balanced,High,Neutral,450.0,Medium
26.0,Female,Bengaluru,IT Professional,103500.0,3-4 times/week,Filter Coffee,Tata Coffee,620.0,Supermarket/Grocery Store,Offline,High,Mild,High,Very Likely,450.0,High
33.0,Male,Surat,Private Sector Employee,45000.0,3-4 times/week,Cappuccino,Nescafé,670.0,Online Marketplace,Online,High,Balanced,High,Likely,130.0,High
34.0,Non-binary/Other,Bengaluru,Homemaker,36200.0,Daily,Espresso,Third Wave Coffee,850.0,Local Kirana Store,Offline,Low,Balanced,Low,Very Likely,300.0,Medium
24.0,Female,Indore,IT Professional,46800.0,1-2 times/week,Mocha,Nescafé,510.0,Local Kirana Store,Offline,High,Sweet,Medium,Likely,130.0,Medium
29.0,Male,Bhubaneswar,Freelancer,35400.0,Multiple times/day,Instant Coffee,Bru,650.0,Local Kirana Store,Offline,Medium,Bitter,Medium,Likely,300.0,High
34.0,Female,Indore,Student,8800.0,Rarely,Espresso,Nescafé,220.0,Local Kirana Store,Offline,High,Balanced,High,Unlikely,130.0,Low
29.0,Female,Coimbatore,Student,13700.0,1-2 times/week,Cappuccino,Bru,320.0,Supermarket/Grocery Store,Offline,High,Strong,Medium,Neutral,300.0,Medium
34.0,Male,Bengaluru,Private Sector Employee,49000.0,Multiple times/day,Americano,Nescafé,990.0,Supermarket/Grocery Store,Offline,Medium,Strong,Low,Very Likely,300.0,High
32.0,Male,Bengaluru,Freelancer,51400.0,Daily,Instant Coffee,Nescafé,570.0,Café,Both,Medium,Strong,Medium,Likely,300.0,Medium
35.0,Male,Mumbai,Student,15100.0,Multiple times/day,Filter Coffee,Sleepy Owl,640.0,Café,Offline,Low,Balanced,High,Likely,90.0,High
33.0,Male,Pune,IT Professional,53500.0,Daily,Instant Coffee,Other,590.0,Brand Website,Online,Low,Mild,Medium,Likely,300.0,High
39.0,Male,Kolkata,Teacher/Professor,41800.0,3-4 times/week,Other,Nescafé,490.0,Online Marketplace,Online,Medium,Mild,High,Unlikely,450.0,Medium
31.0,Prefer not to say,Hyderabad,Teacher/Professor,45300.0,1-2 times/week,Cappuccino,Nescafé,380.0,Local Kirana Store,Offline,Medium,Balanced,Low,Very Unlikely,130.0,Low
38.0,Female,Kolkata,IT Professional,92500.0,1-2 times/week,Instant Coffee,Café Coffee Day,390.0,Supermarket/Grocery Store,Offline,Medium,Strong,Medium,Neutral,130.0,Medium
39.0,Female,Pune,Private Sector Employee,35300.0,Rarely,Espresso,Other,200.0,Supermarket/Grocery Store,Offline,High,Strong,Medium,Very Likely,450.0,Medium
42.0,Male,Pune,Private Sector Employee,68300.0,Daily,Latte,Nescafé,1210.0,Supermarket/Grocery Store,Offline,Low,Strong,High,Very Likely,90.0,High
47.0,Female,Surat,Freelancer,46000.0,1-2 times/week,Espresso,Nescafé,380.0,Café,Offline,Medium,Balanced,Medium,Very Likely,130.0,Medium
29.0,Female,Surat,Freelancer,35500.0,3-4 times/week,Filter Coffee,Starbucks,250.0,Café,Offline,Medium,Balanced,High,Likely,130.0,High
29.0,Male,Delhi,Business Owner,99100.0,3-4 times/week,Latte,Other,1000.0,Café,Offline,Medium,Balanced,Low,Very Likely,450.0,Medium
30.0,Male,Pune,Business Owner,82700.0,1-2 times/week,Instant Coffee,Tata Coffee,360.0,Local Kirana Store,Offline,Medium,Strong,Medium,Very Likely,130.0,High
36.0,Male,Nagpur,Freelancer,47700.0,3-4 times/week,Cold Coffee,Tata Coffee,580.0,Supermarket/Grocery Store,Offline,Medium,Mild,High,Neutral,130.0,Medium
21.0,Male,Nagpur,Other,27200.0,1-2 times/week,Instant Coffee,Starbucks,150.0,Supermarket/Grocery Store,Offline,Low,Strong,Low,Very Likely,300.0,Medium
27.0,Male,Delhi,Private Sector Employee,37100.0,Rarely,Other,Bru,170.0,Supermarket/Grocery Store,Offline,Medium,Strong,Medium,Very Likely,450.0,High
36.0,Female,Jaipur,Private Sector Employee,40500.0,3-4 times/week,Instant Coffee,Tata Coffee,400.0,Café,Offline,Medium,Mild,Medium,Unlikely,450.0,Medium
28.0,Male,Mumbai,Other,29500.0,1-2 times/week,Cold Coffee,Other,380.0,Local Kirana Store,Offline,Medium,Mild,Low,Neutral,700.0,Low
39.0,Male,Delhi,IT Professional,74300.0,1-2 times/week,Instant Coffee,Bru,300.0,Office/Canteen,Offline,High,Strong,High,Neutral,300.0,Medium
25.0,Male,Chennai,Private Sector Employee,40300.0,Daily,Cold Coffee,Nescafé,820.0,Online Marketplace,Online,High,Balanced,Medium,Likely,450.0,High
23.0,Male,Mumbai,Student,7700.0,3-4 times/week,Instant Coffee,Nescafé,320.0,Café,Both,High,Mild,Medium,Neutral,450.0,Medium
27.0,Female,Kolkata,Business Owner,61300.0,Daily,Instant Coffee,Blue Tokai,580.0,Supermarket/Grocery Store,Offline,High,Mild,Medium,Neutral,450.0,High
29.0,Male,Jaipur,Government Employee,46400.0,Multiple times/day,Latte,Bru,1440.0,Office/Canteen,Offline,High,Strong,High,Neutral,450.0,High
26.0,Male,Delhi,IT Professional,70800.0,Rarely,Other,Sleepy Owl,220.0,Local Kirana Store,Offline,Medium,Sweet,High,Neutral,130.0,Low
19.0,Female,Mumbai,IT Professional,94700.0,3-4 times/week,Instant Coffee,Nescafé,530.0,Office/Canteen,Offline,Medium,Balanced,Medium,Neutral,300.0,High
18.0,Female,Kochi,Private Sector Employee,40500.0,Daily,Instant Coffee,Starbucks,580.0,Café,Offline,Medium,Sweet,High,Likely,130.0,High
33.0,Male,Delhi,Freelancer,34500.0,Daily,Cappuccino,Bru,970.0,Café,Both,Medium,Balanced,Low,Likely,450.0,Medium
34.0,Male,Kolkata,Healthcare Professional,81000.0,Daily,Cold Coffee,Starbucks,880.0,Local Kirana Store,Offline,Low,Strong,Medium,Very Likely,300.0,High
36.0,Male,Bhopal,Private Sector Employee,52900.0,1-2 times/week,Cold Coffee,Country Bean,480.0,Office/Canteen,Offline,High,Balanced,Medium,Neutral,300.0,Medium
26.0,Male,Hyderabad,Student,10000.0,Daily,Filter Coffee,Blue Tokai,370.0,Online Marketplace,Online,Medium,Balanced,High,Unlikely,130.0,Medium
21.0,Male,Chennai,Healthcare Professional,47400.0,1-2 times/week,Cold Coffee,Nescafé,400.0,Office/Canteen,Offline,High,Balanced,Low,Very Likely,700.0,Medium
22.0,Male,Bhubaneswar,Student,10800.0,Daily,Instant Coffee,Third Wave Coffee,390.0,Supermarket/Grocery Store,Offline,High,Balanced,High,Likely,130.0,High
37.0,Female,Delhi,Private Sector Employee,47000.0,Multiple times/day,Cappuccino,Starbucks,1520.0,Supermarket/Grocery Store,Offline,High,Strong,Medium,Neutral,300.0,High
23.0,Male,Kochi,Business Owner,56300.0,1-2 times/week,Other,Tata Coffee,390.0,Local Kirana Store,Offline,High,Sweet,High,Very Unlikely,130.0,Low
28.0,Female,Mumbai,IT Professional,70100.0,Multiple times/day,Espresso,Third Wave Coffee,1320.0,Local Kirana Store,Offline,High,Strong,Medium,Likely,700.0,High
26.0,Male,Ahmedabad,Student,11900.0,Daily,Espresso,Nescafé,750.0,Local Kirana Store,Offline,Low,Strong,Medium,Likely,300.0,High
39.0,Female,Ahmedabad,Business Owner,82000.0,3-4 times/week,Americano,Café Coffee Day,830.0,Café,Offline,High,Bitter,Low,Likely,90.0,Medium
27.0,Male,Kochi,Government Employee,33000.0,Daily,Filter Coffee,Bru,500.0,Supermarket/Grocery Store,Both,High,Strong,Medium,Likely,130.0,High
37.0,Male,Pune,Private Sector Employee,33500.0,3-4 times/week,Cold Coffee,Sleepy Owl,490.0,Online Marketplace,Online,Medium,Balanced,High,Neutral,130.0,High
35.0,Male,Delhi,Student,12200.0,3-4 times/week,Cappuccino,Tata Coffee,570.0,Local Kirana Store,Offline,High,Bitter,Medium,Likely,700.0,High
46.0,Male,Chennai,Private Sector Employee,78700.0,Multiple times/day,Latte,Tata Coffee,1650.0,Supermarket/Grocery Store,Both,Medium,Balanced,High,Neutral,300.0,High
30.0,Female,Delhi,Student,13700.0,3-4 times/week,Cold Coffee,Sleepy Owl,450.0,Café,Both,High,Strong,High,Likely,90.0,Medium
18.0,Female,Hyderabad,IT Professional,94700.0,Rarely,Instant Coffee,Starbucks,210.0,Office/Canteen,Offline,Medium,Balanced,Medium,Likely,130.0,Medium
35.0,Male,Indore,Business Owner,88600.0,Daily,Instant Coffee,Blue Tokai,740.0,Supermarket/Grocery Store,Offline,Medium,Sweet,Medium,Very Likely,300.0,High
18.0,Male,Jaipur,Student,9200.0,Daily,Mocha,Bru,790.0,Supermarket/Grocery Store,Offline,High,Balanced,Medium,Very Likely,300.0,High
26.0,Male,Nagpur,Student,10000.0,3-4 times/week,Instant Coffee,Tata Coffee,320.0,Office/Canteen,Offline,Medium,Balanced,Medium,Unlikely,300.0,Medium
26.0,Female,Jaipur,Student,10000.0,1-2 times/week,Instant Coffee,Bru,250.0,Supermarket/Grocery Store,Both,Low,Sweet,Low,Unlikely,300.0,Low
18.0,Male,Kolkata,Student,7400.0,Daily,Instant Coffee,Bru,420.0,Supermarket/Grocery Store,Offline,High,Balanced,Medium,Likely,90.0,High
42.0,Male,Chennai,Private Sector Employee,42700.0,Multiple times/day,Latte,Other,1240.0,Local Kirana Store,Offline,Low,Balanced,Medium,Unlikely,450.0,Medium
49.0,Male,Chandigarh,IT Professional,98900.0,Daily,Cold Coffee,Café Coffee Day,940.0,Local Kirana Store,Offline,High,Sweet,Medium,Very Likely,300.0,High
38.0,Female,Chandigarh,Homemaker,27300.0,Daily,Filter Coffee,Starbucks,450.0,Supermarket/Grocery Store,Offline,Low,Balanced,High,Neutral,130.0,High
31.0,Female,Pune,IT Professional,75400.0,3-4 times/week,Latte,Blue Tokai,980.0,Supermarket/Grocery Store,Offline,Medium,Bitter,Medium,Very Likely,450.0,High
30.0,Female,Mumbai,Healthcare Professional,51700.0,Daily,Instant Coffee,Bru,570.0,Café,Offline,High,Balanced,Low,Likely,130.0,Medium
35.0,Male,Bengaluru,IT Professional,92600.0,3-4 times/week,Filter Coffee,Nescafé,500.0,Supermarket/Grocery Store,Offline,Low,Sweet,Low,Very Likely,450.0,High
44.0,Female,Bhopal,Healthcare Professional,81700.0,Multiple times/day,Instant Coffee,Third Wave Coffee,1070.0,Café,Offline,Low,Mild,Low,Very Likely,450.0,High
50.0,Female,Mumbai,Business Owner,90600.0,Daily,Instant Coffee,Bru,750.0,Supermarket/Grocery Store,Both,Low,Balanced,High,Likely,300.0,High
30.0,Female,Ahmedabad,Student,12000.0,3-4 times/week,Instant Coffee,Tata Coffee,320.0,Supermarket/Grocery Store,Offline,Medium,Mild,Medium,Very Likely,700.0,High
39.0,Female,Ahmedabad,Student,10600.0,1-2 times/week,Americano,Starbucks,310.0,Supermarket/Grocery Store,Offline,High,Mild,Medium,Very Likely,130.0,High
31.0,Male,Hyderabad,IT Professional,91600.0,3-4 times/week,Cold Coffee,Bru,690.0,Supermarket/Grocery Store,Both,Low,Balanced,High,Likely,130.0,High
31.0,Female,Bengaluru,IT Professional,104900.0,3-4 times/week,Cold Coffee,Bru,880.0,Office/Canteen,Both,Medium,Strong,High,Very Likely,90.0,High
34.0,Female,Ahmedabad,Private Sector Employee,33200.0,3-4 times/week,Instant Coffee,Bru,300.0,Local Kirana Store,Offline,High,Balanced,Low,Neutral,700.0,Medium
22.0,Male,Visakhapatnam,IT Professional,83800.0,Daily,Instant Coffee,Tata Coffee,810.0,Café,Both,High,Sweet,Medium,Neutral,130.0,Medium
26.0,Female,Mumbai,Private Sector Employee,27500.0,1-2 times/week,Instant Coffee,Starbucks,200.0,Supermarket/Grocery Store,Offline,Low,Strong,High,Neutral,700.0,Medium
57.0,Female,Lucknow,Student,14400.0,3-4 times/week,Other,Bru,460.0,Online Marketplace,Online,Low,Balanced,High,Very Likely,700.0,High
21.0,Male,Bengaluru,Homemaker,24200.0,3-4 times/week,Mocha,Tata Coffee,610.0,Supermarket/Grocery Store,Offline,Low,Bitter,Medium,Very Likely,450.0,High
33.0,Female,Mumbai,Business Owner,86200.0,Rarely,Other,Bru,240.0,Local Kirana Store,Offline,Medium,Balanced,Medium,Very Likely,450.0,Medium
26.0,Male,Delhi,Freelancer,34800.0,Daily,Latte,Café Coffee Day,840.0,Supermarket/Grocery Store,Offline,High,Balanced,Medium,Unlikely,130.0,High
39.0,Female,Coimbatore,Student,14100.0,1-2 times/week,Cold Coffee,Bru,300.0,Supermarket/Grocery Store,Offline,High,Balanced,High,Likely,130.0,Medium
29.0,Male,Surat,Government Employee,48700.0,1-2 times/week,Instant Coffee,Tata Coffee,280.0,Online Marketplace,Online,High,Mild,Low,Unlikely,130.0,Low
31.0,Prefer not to say,Chennai,Private Sector Employee,48100.0,Daily,Instant Coffee,Blue Tokai,410.0,Supermarket/Grocery Store,Both,Low,Sweet,Medium,Neutral,700.0,Medium
30.0,Female,Bhopal,Business Owner,94500.0,1-2 times/week,Espresso,Bru,620.0,Supermarket/Grocery Store,Offline,Low,Mild,High,Very Likely,130.0,High
36.0,Male,Patna,Freelancer,46900.0,3-4 times/week,Cappuccino,Café Coffee Day,730.0,Supermarket/Grocery Store,Offline,Low,Strong,Low,Likely,90.0,Medium
25.0,Male,Mumbai,Freelancer,30300.0,Daily,Mocha,Nescafé,970.0,Supermarket/Grocery Store,Offline,Medium,Strong,Medium,Likely,130.0,Medium
33.0,Female,Chennai,Student,11600.0,Multiple times/day,Cold Coffee,Other,700.0,Supermarket/Grocery Store,Both,High,Strong,Low,Neutral,450.0,High
18.0,Female,Jaipur,Business Owner,68600.0,3-4 times/week,Espresso,Café Coffee Day,720.0,Local Kirana Store,Offline,Medium,Sweet,Low,Likely,130.0,Medium
36.0,Female,Lucknow,Student,6600.0,1-2 times/week,Filter Coffee,Blue Tokai,230.0,Brand Website,Online,High,Balanced,High,Neutral,300.0,Medium
32.0,Female,Pune,Business Owner,126700.0,3-4 times/week,Instant Coffee,Sleepy Owl,540.0,Local Kirana Store,Both,Low,Mild,Medium,Likely,300.0,Medium
33.0,Male,Ahmedabad,Business Owner,92800.0,3-4 times/week,Filter Coffee,Bru,630.0,Local Kirana Store,Offline,Low,Balanced,Low,Very Likely,300.0,Medium
40.0,Male,Kochi,IT Professional,67300.0,Daily,Instant Coffee,Nescafé,710.0,Supermarket/Grocery Store,Offline,High,Bitter,Medium,Likely,300.0,High
18.0,Male,Jaipur,Private Sector Employee,43300.0,3-4 times/week,Instant Coffee,Bru,330.0,Office/Canteen,Offline,Low,Balanced,Low,Neutral,300.0,Low
35.0,Male,Hyderabad,Private Sector Employee,27500.0,Daily,Filter Coffee,Sleepy Owl,460.0,Brand Website,Online,Low,Balanced,Medium,Likely,130.0,Medium
37.0,Female,Coimbatore,Business Owner,98800.0,3-4 times/week,Instant Coffee,Third Wave Coffee,560.0,Supermarket/Grocery Store,Offline,Medium,Strong,Low,Neutral,300.0,Medium
27.0,Male,Visakhapatnam,Student,9000.0,Rarely,Instant Coffee,Bru,100.0,Brand Website,Online,Medium,Mild,Medium,Unlikely,700.0,Low
27.0,Female,Ahmedabad,IT Professional,92800.0,3-4 times/week,Cold Coffee,Third Wave Coffee,730.0,Online Marketplace,Online,High,Balanced,Low,Likely,130.0,Medium
22.0,Female,Indore,Government Employee,50200.0,1-2 times/week,Instant Coffee,Nescafé,260.0,Supermarket/Grocery Store,Both,Medium,Strong,High,Neutral,450.0,Medium
31.0,Prefer not to say,Kochi,Student,9700.0,Rarely,Filter Coffee,Tata Coffee,110.0,Supermarket/Grocery Store,Offline,Medium,Balanced,High,Likely,130.0,Medium
22.0,Male,Ahmedabad,Government Employee,44800.0,1-2 times/week,Cold Coffee,Nescafé,370.0,Supermarket/Grocery Store,Offline,Medium,Strong,Medium,Neutral,90.0,Medium
36.0,Female,Delhi,IT Professional,77100.0,Multiple times/day,Instant Coffee,Café Coffee Day,1010.0,Online Marketplace,Online,Medium,Strong,Low,Likely,130.0,High
18.0,Female,Bengaluru,Business Owner,79200.0,Multiple times/day,Mocha,Nescafé,1800.0,Supermarket/Grocery Store,Offline,Medium,Balanced,High,Very Likely,450.0,High
25.0,Prefer not to say,Chandigarh,Government Employee,46600.0,Rarely,Mocha,Nescafé,260.0,Supermarket/Grocery Store,Both,Medium,Strong,Medium,Very Likely,130.0,Medium
18.0,Male,Bengaluru,Healthcare Professional,39200.0,3-4 times/week,Filter Coffee,Nescafé,390.0,Online Marketplace,Online,High,Sweet,Medium,Very Likely,130.0,High
18.0,Male,Mumbai,Teacher/Professor,24800.0,Daily,Cappuccino,Bru,830.0,Café,Offline,Medium,Strong,Medium,Unlikely,300.0,Medium
42.0,Female,Lucknow,IT Professional,81300.0,Daily,Instant Coffee,Bru,750.0,Supermarket/Grocery Store,Offline,Medium,Strong,High,Likely,130.0,High
41.0,Female,Pune,Student,13200.0,3-4 times/week,Latte,Nescafé,450.0,Supermarket/Grocery Store,Offline,Low,Strong,Medium,Likely,130.0,Medium
28.0,Male,Patna,Private Sector Employee,48800.0,3-4 times/week,Instant Coffee,Blue Tokai,370.0,Local Kirana Store,Offline,Low,Mild,Medium,Neutral,130.0,Medium
50.0,Female,Visakhapatnam,Private Sector Employee,57500.0,Multiple times/day,Latte,Nescafé,1140.0,Office/Canteen,Offline,Low,Balanced,Low,Very Likely,450.0,High
32.0,Male,Mumbai,Private Sector Employee,39200.0,1-2 times/week,Espresso,Café Coffee Day,360.0,Café,Offline,Medium,Balanced,Medium,Likely,130.0,Medium
25.0,Male,Hyderabad,IT Professional,67100.0,3-4 times/week,Instant Coffee,Café Coffee Day,540.0,Café,Offline,High,Strong,Medium,Neutral,300.0,Medium
40.0,Prefer not to say,Mumbai,Healthcare Professional,68500.0,3-4 times/week,Other,Blue Tokai,680.0,Café,Offline,Medium,Sweet,Medium,Likely,130.0,High
27.0,Male,Delhi,Business Owner,60300.0,1-2 times/week,Latte,Other,490.0,Office/Canteen,Offline,High,Strong,Low,Very Likely,700.0,Medium
31.0,Female,Mumbai,IT Professional,92200.0,Rarely,Cappuccino,Bru,320.0,Online Marketplace,Online,Medium,Strong,High,Likely,130.0,High
29.0,Male,Coimbatore,Student,9900.0,1-2 times/week,Instant Coffee,Tata Coffee,260.0,Café,Offline,High,Sweet,Low,Unlikely,130.0,Low
20.0,Male,Chennai,Other,20400.0,Daily,Instant Coffee,Starbucks,450.0,Café,Offline,High,Mild,High,Neutral,450.0,High
39.0,Male,Bengaluru,IT Professional,107500.0,Multiple times/day,Instant Coffee,Third Wave Coffee,1060.0,Café,Offline,Medium,Balanced,Medium,Likely,130.0,High
18.0,Female,Indore,Private Sector Employee,46400.0,3-4 times/week,Cappuccino,Nescafé,520.0,Brand Website,Online,High,Balanced,Low,Very Unlikely,450.0,Medium
21.0,Female,Surat,Healthcare Professional,47800.0,1-2 times/week,Latte,Nescafé,430.0,Supermarket/Grocery Store,Offline,Low,Strong,Medium,Likely,90.0,Medium
27.0,Female,Pune,Government Employee,82500.0,Daily,Filter Coffee,Other,840.0,Supermarket/Grocery Store,Offline,Medium,Sweet,High,Neutral,130.0,High
35.0,Male,Hyderabad,IT Professional,80700.0,Multiple times/day,Instant Coffee,Bru,1050.0,Brand Website,Online,Low,Mild,High,Likely,450.0,High
